方名,text
吉利散,"当归,川芎,枳壳,陈皮,香附,厚朴,木香,苏木,刘寄奴,马蹄草,三七,乳香,没药,萹蓄"
回生第一丹,"土鳖虫,血竭,当归,自然铜,乳香"
合德丸,"苍术,地黄"
回乳方,"麦芽,枳壳,青皮,苏梗,桔梗,当归,益母草,蒲公英,金银花,连翘,牡丹皮"
冲和膏,"紫荆皮,乳香,甘草,白芷,没药"
冲和散,"紫荆皮,赤豆,白芷,石菖蒲"
夹纸膏,"乳香,洋樟,炉甘石,当归,轻粉,白占,黄占,猪油"
龙虎丸,"龙骨,川芎,当归,桂圆肉,地黄,砂仁,木香,山楂,破故纸,防风,广皮,酸枣仁,杜仲,菟丝子,黄芩,贯众,白蒺藜,川膝,石膏,神曲,川贝,木通,甘草"
龙虎续断丸,"地龙,虎骨,续断,萆薢,乳香,穿山甲,没药,茴香,狗脊,当归,砂仁,鹿茸,杜仲,盐,菟丝"
产灵丹,"当归,香附,白术,木香,细辛,川乌,草乌,茴香,川芎,防风,白芷,芥穗,桔梗,麻黄,苍术,甘草"
甘遂通结汤,"甘遂,木香,牛膝,川朴,赤芍,大黄"
生蒲黄汤,"生蒲黄,丹参,郁金,牡丹皮,地黄,荆芥,川芎"
左经丸,"黑豆,斑蝥"
宁荨丸,"地黄,荆芥,蝉蜕,苦参,白蒺藜,知母,石膏,紫草,桃仁,甘草"
白驳片,"紫草,重楼,白药子,白薇,红花,桃仁,生首乌,刺蒺藜,海螵蛸,甘草,龙胆草,苍术"
玉龙软金丹,"沉香,安息香,八角,茴香,益智仁,麝香,莲子心,淫羊藿,朱砂,穿山甲,水牛角,乳香,丁香"
地黄丸,"人参,当归,川芎,地黄,白蒺藜,全蝎"
正骨散,"麻黄,木贼,甘草"
正骨烫药,"当归,红花,白芷,乳香,没药,骨碎补,续断,防风,木瓜,川椒,透骨草"
白马蹄散,"白马蹄,桂心,蒲黄,龟壳"
边臣十八味,"当归,枳实,苏木,牡丹皮,石斛,秦艽,赤芍,金银花,桃仁,红花,紫草,猴姜,大黄,乳香,没药,甘草"
冲和仙膏,"紫荆皮,赤芍,白芷,木蜡"
白术黄芩汤,"白术,甘草"
甘菊花丸,"菊花,地黄,山药"
瓜蒌内托散,"瓜蒌,当归,没药,甘草"
生肌散,"人参,轻粉,血竭,象皮,乳香,没药,石灰,木香,冰片,儿茶"
生干地黄散,"地黄,牡丹,水牛角,黄芩,茜根"
